Series ID,civpop,civlfsa,civlfnsa,civlfprsa,civlfprnsa,emplsa,emplnsa,unempsa,unempnsa,unempftwsa,unempftsnsa,unratesa,unratensa
1/1/14,246915,155352,154381,62.9,62.5,145150,143526,10202,10855,8688,9254,6.6,7
2/1/14,247085,155483,155027,62.9,62.7,145134,144134,10349,10893,8778,9205,6.7,7
3/1/14,247258,156028,155627,63.1,62.9,145648,145090,10380,10537,8789,8963,6.7,6.8
4/1/14,247439,155369,154845,62.8,62.6,145667,145767,9702,9079,8221,7680,6.2,5.9
5/1/14,247622,155684,155841,62.9,62.9,145825,146398,9859,9443,8248,7928,6.3,6.1
6/1/14,247814,155707,156997,62.8,63.4,146247,147104,9460,9893,7832,8196,6.1,6.3
7/1/14,248023,156007,157573,62.9,63.5,146399,147265,9608,10307,8056,8584,6.2,6.5
8/1/14,248229,156130,156434,62.9,63,146530,146647,9599,9787,7899,8075,6.1,6.3
9/1/14,248446,156040,155903,62.8,62.8,146778,146941,9262,8962,7594,7321,5.9,5.7
10/1/14,248657,156417,156616,62.9,63,147427,147936,8990,8680,7523,7253,5.7,5.5
11/1/14,248844,156494,156297,62.9,62.8,147404,147666,9090,8630,7618,7190,5.8,5.5
12/1/14,249027,156332,155521,62.8,62.5,147615,147190,8717,8331,7307,7014,5.6,5.4
1/1/15,249723,157030,156050,62.9,62.5,148145,146552,8885,9498,7440,7976,5.7,6.1
2/1/15,249899,156644,156213,62.7,62.5,148045,147118,8599,9095,7231,7638,5.5,5.8
3/1/15,250080,156643,156318,62.6,62.5,148128,147635,8515,8682,7120,7288,5.4,5.6
4/1/15,250266,157060,156554,62.8,62.6,148511,148587,8550,7966,7116,6619,5.4,5.1
5/1/15,250455,157651,157719,62.9,63,148817,149349,8834,8370,7382,7021,5.6,5.3
6/1/15,250663,157062,158283,62.7,63.1,148816,149645,8247,8638,6693,7034,5.3,5.5
7/1/15,250876,156997,158527,62.6,63.2,148830,149722,8167,8805,6779,7245,5.2,5.6
8/1/15,251096,157172,157390,62.6,62.7,149181,149228,7992,8162,6532,6713,5.1,5.2
9/1/15,251325,156733,156607,62.4,62.3,148826,148980,7907,7628,6551,6291,5,4.9
10/1/15,251541,157167,157313,62.5,62.5,149246,149716,7922,7597,6609,6311,5,4.8
11/1/15,251747,157463,157340,62.5,62.5,149463,149766,8000,7573,6594,6195,5.1,4.8
12/1/15,251936,158035,157245,62.7,62.4,150128,149703,7907,7542,6605,6319,5,4.8
1/1/16,252397,158280,157347,62.7,62.3,150653,149037,7627,8309,6229,6757,4.8,5.3
2/1/16,252577,158640,158279,62.8,62.7,150939,150060,7702,8219,6307,6737,4.9,5.2
3/1/16,252768,159179,158854,63,62.8,151218,150738,7961,8116,6548,6749,5,5.1
4/1/16,252969,159141,158488,62.9,62.7,151074,151075,8067,7413,6682,6202,5.1,4.7
5/1/16,253174,158784,158800,62.7,62.7,151132,151594,7652,7207,6224,5940,4.8,4.5
6/1/16,253397,158967,160135,62.7,63.2,151223,151990,7744,8144,6291,6627,4.9,5.1
7/1/16,253620,159194,160705,62.8,63.4,151554,152437,7641,8267,6218,6721,4.8,5.1
8/1/16,253854,159562,159800,62.9,62.9,151779,151804,7784,7996,6315,6482,4.9,5
9/1/16,254091,159714,159636,62.9,62.8,151761,151977,7953,7658,6547,6234,5,4.8
10/1/16,254321,159605,159783,62.8,62.8,151793,152335,7811,7447,6385,6022,4.9,4.7
11/1/16,254540,159506,159451,62.7,62.6,151954,152385,7553,7066,6266,5819,4.7,4.4
12/1/16,254742,159678,158968,62.7,62.4,152157,151798,7521,7170,6138,5852,4.7,4.5
1/1/17,254082,159620,158676,62.8,62.5,152152,150527,7468,8149,6137,6664,4.7,5.1
2/1/17,254246,159859,159482,62.9,62.7,152480,151594,7379,7887,5938,6340,4.6,4.9
3/1/17,254414,160137,159912,62.9,62.9,153065,152628,7073,7284,5646,5892,4.4,4.6
4/1/17,254588,160345,159817,63,62.8,153255,153262,7089,6555,5612,5242,4.4,4.1
5/1/17,254767,160068,159979,62.8,62.8,153069,153407,7000,6572,5535,5294,4.4,4.1
6/1/17,254957,160192,161337,62.8,63.3,153318,154086,6873,7250,5676,6006,4.3,4.5
7/1/17,255151,160462,161911,62.9,63.5,153569,154470,6892,7441,5610,6049,4.3,4.6
8/1/17,255357,160586,160863,62.9,63,153503,153576,7082,7287,5824,5944,4.4,4.5
9/1/17,255562,161140,161049,63.1,63,154286,154494,6854,6556,5636,5346,4.3,4.1
10/1/17,255766,160309,160465,62.7,62.7,153609,154223,6700,6242,5431,5003,4.2,3.9
11/1/17,255949,160579,160466,62.7,62.7,153805,154180,6774,6286,5335,4896,4.2,3.9
12/1/17,256109,160535,159880,62.7,62.4,153904,153602,6632,6278,5381,5105,4.1,3.9
1/1/18,256780,160914,160037,62.7,62.3,154425,152848,6489,7189,5188,5738,4,4.5
2/1/18,256934,161778,161494,63,62.9,155197,154403,6581,7091,5286,5700,4.1,4.4
3/1/18,257097,161686,161548,62.9,62.8,155214,154877,6472,6671,5146,5379,4,4.1
4/1/18,257272,161771,161280,62.9,62.7,155312,155348,6459,5932,5230,4831,4,3.7
5/1/18,257454,161848,161765,62.9,62.8,155652,156009,6196,5756,4951,4692,3.8,3.6
6/1/18,257642,162210,163277,63,63.4,155762,156465,6447,6812,5230,5540,4,4.2
7/1/18,257843,162341,163734,63,63.5,156146,157004,6195,6730,4994,5406,3.8,4.1
8/1/18,258066,161660,161909,62.6,62.7,155504,155539,6156,6370,4996,5120,3.8,3.9
9/1/18,258290,162087,161958,62.8,62.7,156015,156191,6073,5766,4796,4506,3.7,3.6
10/1/18,258514,162602,162723,62.9,62.9,156391,156952,6211,5771,4964,4551,3.8,3.5
11/1/18,258708,162836,162665,62.9,62.9,156721,157015,6115,5650,4805,4389,3.8,3.5
12/1/18,258888,163206,162510,63,62.8,156817,156481,6389,6029,5038,4774,3.9,3.7
1/1/19,258239,162963,162104,63.1,62.8,156487,154964,6475,7140,5332,5868,4,4.4
2/1/19,258392,162999,162793,63.1,63,156863,156167,6136,6625,5006,5404,3.8,4.1
3/1/19,258537,162904,162823,63,63,156701,156441,6202,6382,4983,5168,3.8,3.9
4/1/19,258693,162586,162097,62.8,62.7,156625,156710,5961,5387,4760,4331,3.7,3.3
5/1/19,258861,162751,162655,62.9,62.8,156821,157152,5930,5503,4719,4435,3.6,3.4
6/1/19,259037,163168,164120,63,63.4,157232,157828,5935,6292,4676,5015,3.6,3.8
7/1/19,259225,163590,164941,63.1,63.6,157529,158385,6061,6556,4861,5255,3.7,4
8/1/19,259432,163774,164019,63.1,63.2,157829,157816,5945,6203,4741,4906,3.6,3.8
9/1/19,259638,164092,163943,63.2,63.1,158339,158478,5753,5465,4656,4399,3.5,3.3
10/1/19,259845,164416,164576,63.3,63.3,158545,159067,5871,5510,4848,4479,3.6,3.3
11/1/19,260020,164496,164386,63.3,63.2,158629,158945,5868,5441,4787,4380,3.6,3.3
12/1/19,260181,164699,164007,63.3,63,158845,158504,5853,5503,4763,4477,3.6,3.4
1/1/20,259502,164328,163497,63.3,63,158486,156994,5842,6504,4707,5233,3.6,4
