data3,date
64.7,1/1/14
65.0,2/1/14
65.1,3/1/14
64.5,4/1/14
64.7,5/1/14
65.5,6/1/14
65.6,7/1/14
64.8,8/1/14
64.5,9/1/14
64.9,10/1/14
64.7,11/1/14
64.2,12/1/14
64.1,1/1/15
64.2,2/1/15
64.3,3/1/15
64.4,4/1/15
64.8,5/1/15
65.6,6/1/15
65.6,7/1/15
64.9,8/1/15
64.4,9/1/15
64.9,10/1/15
65.1,11/1/15
65.0,12/1/15
65.0,1/1/16
65.4,2/1/16
65.7,3/1/16
65.4,4/1/16
65.1,5/1/16
66.0,6/1/16
66.1,7/1/16
65.3,8/1/16
64.9,9/1/16
65.0,10/1/16
64.9,11/1/16
64.5,12/1/16
64.5,1/1/17
64.5,2/1/17
64.6,3/1/17
64.3,4/1/17
64.4,5/1/17
65.4,6/1/17
65.4,7/1/17
64.8,8/1/17
64.7,9/1/17
64.7,10/1/17
64.8,11/1/17
64.4,12/1/17
64.0,1/1/18
64.7,2/1/18
64.6,3/1/18
64.3,4/1/18
64.4,5/1/18
65.4,6/1/18
65.6,7/1/18
64.6,8/1/18
64.5,9/1/18
64.9,10/1/18
64.9,11/1/18
64.5,12/1/18
64.5,1/1/19
64.7,2/1/19
64.7,3/1/19
64.5,4/1/19
64.2,5/1/19
65.3,6/1/19
65.4,7/1/19
64.8,8/1/19
64.4,9/1/19
64.6,10/1/19
64.4,11/1/19
64.0,12/1/19
63.7,1/1/20
64.1,2/1/20
63.5,3/1/20
61.3,4/1/20
61.5,5/1/20
63.0,6/1/20
62.8,7/1/20
62.2,8/1/20
62.1,9/1/20
62.3,10/1/20
62.3,11/1/20
62.0,12/1/20
61.6,1/1/21
62.0,2/1/21
62.1,3/1/21
62.5,4/1/21
62.6,5/1/21
63.8,6/1/21
63.8,7/1/21
63.3,8/1/21
63.2,9/1/21
63.4,10/1/21
63.6,11/1/21
63.5,12/1/21
63.7,1/1/22
64.0,2/1/22
64.2,3/1/22
63.8,4/1/22
64.0,5/1/22
64.9,6/1/22
64.9,7/1/22
64.6,8/1/22
64.0,9/1/22
64.1,10/1/22
63.9,11/1/22
63.6,12/1/22
63.4,1/1/23
63.7,2/1/23
63.9,3/1/23
63.8,4/1/23
63.7,5/1/23
64.7,6/1/23
65.0,7/1/23
64.8,8/1/23
64.5,9/1/23
64.6,10/1/23
64.7,11/1/23
64.0,12/1/23
64.0,1/1/24
