restaurantrs,date
13325,1/1/92
13474,2/1/92
14346,3/1/92
14065,4/1/92
15077,5/1/92
14384,6/1/92
14875,7/1/92
15381,8/1/92
14086,9/1/92
15138,10/1/92
14323,11/1/92
14994,12/1/92
13975,1/1/93
13460,2/1/93
15017,3/1/93
15351,4/1/93
16070,5/1/93
15993,6/1/93
16469,7/1/93
16699,8/1/93
15622,9/1/93
16150,10/1/93
15051,11/1/93
15862,12/1/93
13914,1/1/94
14289,2/1/94
16247,3/1/94
16234,4/1/94
16765,5/1/94
16805,6/1/94
17514,7/1/94
17305,8/1/94
16346,9/1/94
16780,10/1/94
15853,11/1/94
16973,12/1/94
15133,1/1/95
14794,2/1/95
16852,3/1/95
16810,4/1/95
17513,5/1/95
17477,6/1/95
17859,7/1/95
18150,8/1/95
16929,9/1/95
17035,10/1/95
16239,11/1/95
17259,12/1/95
15338,1/1/96
15979,2/1/96
17563,3/1/96
17200,4/1/96
18344,5/1/96
17985,6/1/96
18279,7/1/96
18964,8/1/96
17161,9/1/96
17940,10/1/96
17583,11/1/96
17813,12/1/96
16718,1/1/97
16625,2/1/97
18627,3/1/97
18361,4/1/97
19759,5/1/97
18986,6/1/97
19737,7/1/97
20287,8/1/97
18434,9/1/97
19081,10/1/97
17940,11/1/97
18753,12/1/97
17721,1/1/98
17401,2/1/98
19356,3/1/98
19328,4/1/98
20728,5/1/98
20073,6/1/98
20643,7/1/98
20754,8/1/98
19286,9/1/98
20475,10/1/98
19022,11/1/98
20153,12/1/98
18497,1/1/99
18325,2/1/99
20112,3/1/99
20462,4/1/99
21272,5/1/99
20725,6/1/99
21695,7/1/99
21274,8/1/99
19977,9/1/99
21373,10/1/99
19960,11/1/99
21089,12/1/99
19529,1/1/00
20158,2/1/00
22082,3/1/00
21836,4/1/00
22364,5/1/00
22510,6/1/00
22983,7/1/00
22724,8/1/00
21790,9/1/00
22051,10/1/00
20967,11/1/00
22104,12/1/00
20613,1/1/01
20547,2/1/01
23239,3/1/01
22217,4/1/01
23460,5/1/01
23725,6/1/01
24019,7/1/01
24531,8/1/01
21899,9/1/01
22504,10/1/01
21946,11/1/01
23934,12/1/01
21704,1/1/02
21637,2/1/02
24344,3/1/02
23605,4/1/02
24811,5/1/02
24606,6/1/02
24997,7/1/02
25724,8/1/02
22920,9/1/02
23567,10/1/02
23141,11/1/02
24436,12/1/02
22599,1/1/03
22103,2/1/03
25193,3/1/03
24445,4/1/03
26711,5/1/03
25877,6/1/03
26690,7/1/03
27552,8/1/03
24320,9/1/03
25781,10/1/03
24780,11/1/03
26062,12/1/03
24839,1/1/04
24952,2/1/04
27054,3/1/04
26738,4/1/04
27839,5/1/04
27258,6/1/04
28982,7/1/04
28076,8/1/04
26179,9/1/04
27517,10/1/04
25829,11/1/04
28321,12/1/04
25914,1/1/05
25934,2/1/05
28566,3/1/05
28911,4/1/05
29547,5/1/05
29239,6/1/05
