Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Jan
1976",267268,62.6,,255385,60.5
"Feb
1976",267143,62.4,,256704,60.8
"Mar
1976",267177,62.3,,259429,61.1
"Apr
1976",267713,62.5,,264792,61.8
"May
1976",268524,62.6,,271359,62.8
"Jun
1976",269504,62.7,,278307,65.1
"Jul
1976",270419,62.9,,282414,65.4
"Aug
1976",271148,63.0,,281700,65.2
"Sep
1976",271679,63.2,,273648,63.1
"Oct
1976",272003,63.1,,275696,63.3
"Nov
1976",272196,63.2,,269725,62.4
"Dec
1976",272406,63.2,,266799,61.9
"Jan
1977",272785,63.4,,261420,61.4
"Feb
1977",273346,63.4,,263577,61.9
"Mar
1977",273927,63.4,,266195,62.4
"Apr
1977",274447,63.6,,271871,63.1
"May
1977",274898,63.5,,278041,63.7
"Jun
1977",275316,63.7,,285050,66.2
"Jul
1977",275787,63.6,,286363,65.7
"Aug
1977",276413,63.8,,285428,65.7
"Sep
1977",277221,63.8,,279989,63.9
"Oct
1977",278086,64.0,,281689,64.1
"Nov
1977",278870,64.0,,276954,63.2
"Dec
1977",279475,64.1,,273842,62.7
"Jan
1978",279974,64.1,,269645,62.6
"Feb
1978",280491,64.1,,270350,62.5
"Mar
1978",281130,64.2,,272824,62.9
"Apr
1978",281867,64.2,,278909,63.7
"May
1978",282598,64.3,,285310,64.4
"Jun
1978",283212,64.3,,293720,66.9
"Jul
1978",283607,64.4,,294385,66.6
"Aug
1978",283818,64.5,,293790,66.4
"Sep
1978",283991,64.4,,286146,64.4
"Oct
1978",284368,64.5,,287857,64.5
"Nov
1978",284996,64.6,,281942,63.7
"Dec
1978",285705,64.7,,279550,63.6
"Jan
1979",286294,64.9,,276295,63.1
"Feb
1979",286706,64.9,,278099,63.6
"Mar
1979",286998,64.9,,280452,64.1
"Apr
1979",287245,64.8,,282648,64.1
"May
1979",287561,64.8,,289053,64.9
"Jun
1979",287949,64.7,,297213,67.0
"Jul
1979",288409,64.8,,300822,67.2
"Aug
1979",288844,64.9,,298581,66.8
"Sep
1979",289117,64.9,,292185,65.1
"Oct
1979",289174,64.9,,292313,64.8
"Nov
1979",289108,64.9,,285847,63.9
"Dec
1979",289044,64.9,,284006,63.7
"Jan
1980",288983,64.9,,277935,63.2
"Feb
1980",288867,64.9,,279814,63.5
"Mar
1980",288650,64.9,,281391,63.8
"Apr
1980",288337,64.8,,285276,64.3
"May
1980",287990,64.9,,289969,65.0
"Jun
1980",287774,64.9,,296918,67.2
"Jul
1980",287771,65.0,,299157,67.4
"Aug
1980",288032,65.0,,297719,67.0
"Sep
1980",288569,65.1,,291020,65.1
"Oct
1980",289251,65.1,,293071,65.1
"Nov
1980",290012,65.2,,287736,64.3
"Dec
1980",290899,65.2,,284904,63.8
"Jan
1981",291844,65.4,,281425,63.9
"Feb
1981",292685,65.5,,282604,64.0
"Mar
1981",293371,65.6,,285451,64.5
"Apr
1981",293846,65.5,,291887,65.3
"May
1981",294113,65.5,,297475,66.0
"Jun
1981",294297,65.4,,301661,67.2
"Jul
1981",294529,65.4,,305918,67.5
"Aug
1981",294837,65.3,,305263,67.3
"Sep
1981",295194,65.4,,297235,65.4
"Oct
1981",295579,65.4,,299989,65.6
"Nov
1981",295849,65.5,,294165,64.7
"Dec
1981",295908,65.4,,289481,64.1
"Jan
1982",295875,65.5,,284629,63.7
"Feb
1982",295903,65.4,,286392,64.0
"Mar
1982",296030,65.5,,288737,64.5
"Apr
1982",296327,65.4,,292239,64.8
"May
1982",296723,65.6,,299659,66.1
"Jun
1982",297000,65.6,,305862,67.7
"Jul
1982",297062,65.7,,308792,67.9
"Aug
1982",296944,65.6,,307654,67.5
"Sep
1982",296717,65.5,,300427,65.7
"Oct
1982",296441,65.6,,298785,65.4
"Nov
1982",296215,65.5,,293242,64.5
"Dec
1982",296061,65.4,,290280,64.2
"Jan
1983",295999,65.4,,285811,63.8
"Feb
1983",296144,65.4,,286918,64.2
"Mar
1983",296578,65.3,,288466,64.4
"Apr
1983",297325,65.3,,293559,64.7
"May
1983",298356,65.3,,299599,65.2
"Jun
1983",299596,65.4,,309618,67.9
