date,wti,rgdp,rgdp_pcyy,fedfunds,unrate,mpi,mpi_pcyy
1/1/97,22.81,12115,4.3,5.28,5.2,77,8.3
4/1/97,19.92,12317,4.3,5.52,5.0,78.3,7.5
7/1/97,19.8,12471,4.7,5.53,4.9,80.3,8.1
10/1/97,19.96,12577,4.5,5.51,4.7,82.6,9.6
1/1/98,15.94,12704,4.9,5.52,4.6,83.9,8.9
4/1/98,14.64,12821,4.1,5.50,4.4,84.2,7.6
7/1/98,14.22,12983,4.1,5.53,4.5,84.9,5.8
10/1/98,12.93,13192,4.9,4.86,4.4,86.6,4.8
1/1/99,13.17,13316,4.8,4.73,4.3,87.7,4.6
4/1/99,17.65,13427,4.7,4.75,4.3,88.7,5.3
7/1/99,21.69,13605,4.8,5.09,4.2,89.4,5.3
10/1/99,24.64,13828,4.8,5.31,4.1,91.3,5.5
1/1/00,28.87,13878,4.2,5.68,4.0,92.4,5.3
4/1/00,28.92,14131,5.2,6.27,3.9,93.6,5.5
7/1/00,31.6,14145,4,6.52,4.0,93.6,4.6
10/1/00,32.06,14230,2.9,6.47,3.9,93.1,1.9
1/1/01,28.76,14183,2.2,5.59,4.2,91.8,-0.6
4/1/01,27.92,14272,1,4.33,4.4,90.6,-3.2
7/1/01,26.7,14215,0.5,3.50,4.8,89.2,-4.7
10/1/01,20.47,14254,0.2,2.13,5.5,88.3,-5.2
1/1/02,21.64,14373,1.3,1.73,5.7,89.2,-2.9
4/1/02,26.27,14461,1.3,1.75,5.8,90.6,0
7/1/02,28.3,14520,2.1,1.74,5.7,91.4,2.5
10/1/02,28.27,14538,2,1.44,5.9,91.3,3.4
1/1/03,34.04,14614,1.7,1.25,5.9,91.8,2.9
4/1/03,28.98,14744,2,1.25,6.1,91.3,0.8
7/1/03,30.22,14989,3.2,1.02,6.1,92,0.7
10/1/03,31.18,15163,4.3,1.00,5.8,93.1,2
1/1/04,35.33,15249,4.3,1.00,5.7,93.7,2.1
4/1/04,38.31,15367,4.2,1.01,5.6,94.4,3.4
7/1/04,43.84,15513,3.5,1.43,5.4,95.3,3.6
10/1/04,48.14,15671,3.4,1.95,5.4,96.8,4
1/1/05,49.9,15845,3.9,2.47,5.3,98.4,5
4/1/05,53.11,15923,3.6,2.94,5.1,99,4.9
7/1/05,63.31,16048,3.4,3.46,5.0,98.9,3.8
10/1/05,59.99,16137,3,3.98,5.0,100.5,3.8
1/1/06,63.3,16354,3.2,4.46,4.7,101.5,3.1
4/1/06,70.46,16396,3,4.91,4.6,101.6,2.6
7/1/06,70.54,16421,2.3,5.25,4.6,102.1,3.2
10/1/06,59.93,16562,2.6,5.25,4.4,102.6,2.1
1/1/07,58.08,16612,1.6,5.26,4.5,103.9,2.4
4/1/07,64.97,16713,1.9,5.25,4.5,105.4,3.7
7/1/07,75.22,16810,2.4,5.07,4.7,105.6,3.4
10/1/07,90.58,16915,2.1,4.50,4.8,106.1,3.4
1/1/08,97.86,16843,1.4,3.18,5.0,105.5,1.6
4/1/08,123.77,16943,1.4,2.09,5.3,103.3,-2
7/1/08,118.29,16854,0.3,1.94,6.0,99.4,-5.9
10/1/08,58.68,16485,-2.5,0.51,6.9,93.4,-12
1/1/09,43.14,16298,-3.2,0.18,8.3,87,-17.6
4/1/09,59.61,16269,-4,0.18,9.3,84.8,-17.9
7/1/09,68.08,16326,-3.1,0.16,9.6,86.8,-12.7
10/1/09,76,16503,0.1,0.12,9.9,88.3,-5.4
1/1/10,78.81,16583,1.7,0.13,9.8,90,3.4
4/1/10,77.82,16743,2.9,0.19,9.6,92.4,9
7/1/10,76.07,16872,3.3,0.19,9.5,93.5,7.7
10/1/10,85.22,16961,2.8,0.19,9.5,93.9,6.3
1/1/11,94.07,16921,2,0.16,9.0,94.7,5.3
4/1/11,102.02,17035,1.7,0.09,9.1,94.7,2.5
7/1/11,89.49,17031,0.9,0.08,9.0,95.7,2.4
10/1/11,94.09,17223,1.5,0.07,8.6,96.6,2.9
1/1/12,102.94,17367,2.6,0.10,8.3,98,3.5
4/1/12,93.29,17445,2.4,0.15,8.2,98.3,3.8
7/1/12,92.17,17470,2.6,0.14,8.0,98.1,2.5
10/1/12,88.01,17490,1.6,0.16,7.8,98.4,1.8
1/1/13,94.33,17662,1.7,0.14,7.7,99.2,1.2
4/1/13,94.05,17710,1.5,0.12,7.5,99.2,1
7/1/13,105.83,17860,2.2,0.08,7.2,99.2,1.1
10/1/13,97.5,18016,3,0.09,6.9,99.6,1.2
1/1/14,98.68,17954,1.7,0.07,6.7,99.3,0.2
4/1/14,103.35,18186,2.7,0.09,6.2,100.5,1.3
7/1/14,97.87,18407,3.1,0.09,6.1,101,1.8
10/1/14,73.21,18500,2.7,0.10,5.7,101.2,1.6
1/1/15,48.48,18667,4,0.11,5.5,100.3,1
4/1/15,57.85,18782,3.3,0.12,5.4,100.1,-0.4
7/1/15,46.55,18857,2.4,0.14,5.1,100.3,-0.7
10/1/15,41.94,18892,2.1,0.16,5.0,99.6,-1.5
1/1/16,33.35,19002,1.8,0.36,4.9,99.5,-0.8
4/1/16,45.46,19063,1.5,0.37,4.9,99.2,-0.9
7/1/16,44.85,19198,1.8,0.40,4.9,99.3,-1
10/1/16,49.18,19304,2.2,0.45,4.8,99.4,-0.2
1/1/17,51.64,19398,2.1,0.70,4.6,99.4,-0.1
4/1/17,48.1,19507,2.3,0.95,4.4,100.2,1
7/1/17,48.16,19661,2.4,1.15,4.3,99.7,0.4
10/1/17,55.27,19882,3,1.20,4.2,100.7,1.3
1/1/18,62.91,20044,3.3,1.45,4.0,100.8,1.4
4/1/18,68.07,20150,3.3,1.74,3.9,101.5,1.3
7/1/18,69.69,20276,3.1,1.92,3.8,101.9,2.2
10/1/18,59.59,20305,2.1,2.22,3.8,101.5,0.8
